id;n10;n11;n12;n13;n14;n15;n16
11537;BTS - Production - Bioanalyses en laboratoire de contrôle;formation sélective;BTS;Lycée Raoul Dautry - BTS - Production - Bioanalyses en laboratoire de contrôle;BTS - Production;Bioanalyses en laboratoire de contrôle;
11538;BUT - Management de la Logistique et des Transports;formation sélective;BUT;I.U.T de Perpignan - BUT - Management de la Logistique et des Transports;BUT - Service;Management de la Logistique et des Transports;
11539;Licence - Mathématiques - Parcours Préparatoire au Professorat des Ecoles (PPPE);formation non sélective;Licence;Université d'Amiens - Licence - Mathématiques - Parcours Préparatoire au Professorat des Ecoles (PPPE);Licence - Sciences - technologies - santé;Mathématiques;Préparatoire au Professorat des Ecoles (PPPE)
11540;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;formation sélective;BTS;Lycée agricole Emile Boyer de La Giroday - BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;BTS - Agricole;Technico-commercial - Spécialité univers jardins et animaux de compagnie;
11541;BTS - Services - Management opérationnel de la sécurité;formation sélective;BTS;Lycée professionnel Alfred Hutinel - BTS - Services - Management opérationnel de la sécurité;BTS - Services;Management opérationnel de la sécurité;
11542;BUT - Génie chimique génie des procédés;formation sélective;BUT;I.U.T. Saint-Nazaire - BUT - Génie chimique génie des procédés;BUT - Production;Génie chimique génie des procédés;
11543;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée professionnel Charles Baudelaire - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
11544;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;formation sélective;BTS;Lycée Beaupré - BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;BTS - Production;Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;
11545;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée professionnel La Trinite - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
11546;BTS - Production - Electrotechnique;formation sélective;BTS;Cite Technique Edouard Branly - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
11547;Licence - Lettres - Parcours Lettres, écriture et culture numériques;formation non sélective;Licence;Université Paris Nanterre - Licence - Lettres - Parcours Lettres, écriture et culture numériques;Licence - Arts-lettres-langues;Lettres;Lettres, écriture et culture numériques
11548;Licence - Histoire;formation non sélective;Licence;Campus des Comtes de champagne - URCA - Licence - Histoire;Licence - Sciences humaines et sociales;Histoire;
11549;Licence - Histoire - Parcours Histoire et Géographie;formation non sélective;Licence;Université de la Polynésie française - Licence - Histoire - Parcours Histoire et Géographie;Licence - Sciences humaines et sociales;Histoire;Histoire et Géographie
11550;Certificat de Spécialisation - Services numériques aux organisations;formation sélective;Autre formation;Lycée professionnel Lavoisier - Certificat de Spécialisation - Services numériques aux organisations;Certificat de Spécialisation;Services numériques aux organisations;
11551;Licence - Portail Portail Biologie-Chimie-Sciences de la Terre (BCST);formation non sélective;Licence;Ecole Universitaire de premier cycle - Campus d'Orsay Université Paris-Saclay - Licence - Portail Portail Biologie-Chimie-Sciences de la Terre (BCST);Licence - Sciences - technologies - santé;Sciences de la vie;Biologie-Chimie-Sciences de la Terre (BCST)
11552;BTS - Production - Conception et Réalisation de Systèmes Automatiques;formation sélective;BTS;Lycée Grandmont - BTS - Production - Conception et Réalisation de Systèmes Automatiques;BTS - Production;Conception et Réalisation de Systèmes Automatiques;
11553;Licence - Portail Physique, Chimie, Sciences de la Terre et Mécanique (PCSTM);formation non sélective;Licence_Las;Université de Rennes (EPE) - Licence - Portail Physique, Chimie, Sciences de la Terre et Mécanique (PCSTM);Licence - Sciences - technologies - santé;Chimie;Physique, Chimie, Sciences de la Terre et Mécanique (PCSTM)
11554;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;formation sélective;BTS;Lycée Frantz Fanon - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;
11555;BTS - Services - Professions immobilières;formation sélective;BTS;Lycée Beaussier - BTS - Services - Professions immobilières;BTS - Services;Professions immobilières;
11556;BTS - Services - Gestion des transports et logistique associée;formation sélective;BTS;Lycée Deodat De Severac - BTS - Services - Gestion des transports et logistique associée;BTS - Services;Gestion des transports et logistique associée;
11557;BTS - Services - Commerce International;formation sélective;BTS;Lycée polyvalent de Cachan - BTS - Services - Commerce International;BTS - Services;Commerce International;
11558;Licence - Langues, littératures et civilisations étrangères et régionales;formation non sélective;Licence;Université Lumière - Lyon 2 - Licence - Langues, littératures et civilisations étrangères et régionales;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;LLCER Allemand – LLCER Anglais
11559;BTS - Services - Services et prestations des secteurs sanitaire et social;formation sélective;BTS;Lycée HAUTE-FOLLIS - BTS - Services - Services et prestations des secteurs sanitaire et social;BTS - Services;Services et prestations des secteurs sanitaire et social;
11560;Licence - Sciences de la terre - Parcours Sciences de la Terre, de l'Univers et de l'environnement;formation non sélective;Licence;Université de Strasbourg - Licence - Sciences de la terre - Parcours Sciences de la Terre, de l'Univers et de l'environnement;Licence - Sciences - technologies - santé;Sciences de la terre;Sciences de la Terre, de l'Univers et de l'environnement
11561;DN MADE - Graphisme - Design numérique/ motion design - DATA design;formation sélective;Autre formation;Lycée la Tourrache - DN MADE - Graphisme - Design numérique/ motion design - DATA design;DN MADE;Graphisme;Design numérique/ motion design - DATA design
11562;Licence - Sciences de l'éducation et de la formation;formation non sélective;Licence;Facultés libres de l'ouest - UCO - Licence - Sciences de l'éducation et de la formation;Licence - Sciences humaines et sociales;Sciences de l'éducation et de la formation;
11563;Licence - Lettres - Parcours Lettres classiques;formation non sélective;Licence;Université Bourgogne Europe (ex université de Bourgogne) - Licence - Lettres - Parcours Lettres classiques;Licence - Arts-lettres-langues;Lettres;Lettres classiques
11564;BTS - Production - Construction et aménagement de véhicules;formation sélective;BTS;LPO Camus-Sermenaz - BTS - Production - Construction et aménagement de véhicules;BTS - Production;Construction et aménagement de véhicules;
11565;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Jacques Marquette - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
11566;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Parcours Europe - Polonais;formation non sélective;Licence;INALCO - Licence - Portail Langues, littératures et civilisations étrangères et régionales - Parcours Europe - Polonais;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Parcours Europe - Polonais
11567;BUT - Mesures physiques;formation sélective;BUT;I.U.T de Lannion - BUT - Mesures physiques;BUT - Production;Mesures physiques;
11568;Licence - Parcours d'Accès Spécifique Santé (PASS);formation non sélective;PASS;Université d'Amiens - Licence - Parcours d'Accès Spécifique Santé (PASS);Licence - Sciences - technologies - santé;Parcours d'Accès Spécifique Santé (PASS);Sciences
11569;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée Geoffroy-St-Hilaire - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
11570;BTS - Production - Métiers de la chimie;formation sélective;BTS;Lycée Marie Curie - BTS - Production - Métiers de la chimie;BTS - Production;Métiers de la chimie;
11571;DN MADE - Graphisme;formation sélective;Autre formation;Campus Sainte Marguerite - DN MADE - Graphisme;DN MADE;Graphisme;Spécialité : Design Graphisme et numérique
11572;BTS - Production - Photonique : technologies et sciences de la lumière;formation sélective;BTS;Lycée Alfred Kastler - BTS - Production - Photonique : technologies et sciences de la lumière;BTS - Production;Photonique : technologies et sciences de la lumière;
11573;DN MADE - Mode - Spécialité : Design Textiles-Matériaux-Graphisme;formation sélective;Autre formation;Lycée polyvalent Fernand Renaudeau - Lycée des métiers de la mode - DN MADE - Mode - Spécialité : Design Textiles-Matériaux-Graphisme;DN MADE;Mode;Spécialité : Design Textiles-Matériaux-Graphisme
11574;DN MADE - Graphisme - Spécialité : Dispositifs d'édition;formation sélective;Autre formation;Lycée Alain Colas - DN MADE - Graphisme - Spécialité : Dispositifs d'édition;DN MADE;Graphisme;Spécialité : Dispositifs d'édition
11575;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;formation sélective;BTS;The Land - BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;BTS - Agricole;Technico-commercial - Spécialité vins, bières et spiritueux;
11576;DN MADE - Événement - Spécialité : Espaces éphémères de marques et d'institutions culturelles;formation sélective;Autre formation;Lycée Georges Brassens - DN MADE - Événement - Spécialité : Espaces éphémères de marques et d'institutions culturelles;DN MADE;Événement;Spécialité : Espaces éphémères de marques et d'institutions culturelles
11577;Double licence - Droit / Gestion - Droit - Gestion;formation sélective;Licence;Université de Lorraine - Faculté de Droit, Sciences Economiques et Gestion - Site d'Épinal (88) - Double licence - Droit / Gestion - Droit - Gestion;Licence - Droit-économie-gestion;Droit;Droit - Gestion
11578;Certificat de Spécialisation - Production et réparation de produits électroniques;formation sélective;Autre formation;Lycée Bernard Palissy - Certificat de Spécialisation - Production et réparation de produits électroniques;Certificat de Spécialisation;Production et réparation de produits électroniques;
11579;CPGE - ECT - Option technologique;formation sélective;CPGE;Lycée Henri Moissan - CPGE - ECT - Option technologique;Classe préparatoire économique et commerciale;ECT - Option technologique;
